arc	type	trial_set	pos	date	huge	pattern	locale	heading_rad	species	predator	id	video
55	DoG	T9	4	15/06/2016	0	dog 55	Tenerife	2.43	Da	0	na	GOPR4001
55	DoG	T10	1	15/06/2016	0	dog 55	Tenerife	2	Da	0	na	GOPR4003
55	DoG	T10	2	15/06/2016	0	dog 55	Tenerife	0	Da	0	na	GOPR4003
55	DoG	T10	3	15/06/2016	0	dog 55	Tenerife	0.37	Da	0	na	GOPR4003
55	DoG	T10	4	15/06/2016	0	dog 55	Tenerife	0.16	Da	0	na	GOPR4003
40	bar	T11	1	16/06/2016	0	bar 40	Tenerife	1.61	Da	0	na	GOPR4005
40	bar	T11	2	16/06/2016	0	bar 40	Tenerife	3.26	Da	0	na	GOPR4005
40	bar	T11	3	16/06/2016	0	bar 40	Tenerife	4.28	Da	0	na	GOPR4005
40	bar	T11	4	16/06/2016	0	bar 40	Tenerife	3.19	Da	0	na	GOPR4005
40	bar	T12	1	16/06/2016	0	bar 40	Tenerife	1.67	Da	0	na	GOPR4006
40	bar	T12	2	16/06/2016	0	bar 40	Tenerife	0.15	Da	0	na	GOPR4006
40	bar	T12	3	16/06/2016	0	bar 40	Tenerife	0.06	Da	0	na	GOPR4006
40	bar	T12	4	16/06/2016	0	bar 40	Tenerife	0.84	Da	0	na	GOPR4006
40	bar	T13	1	16/06/2016	0	bar 40	Tenerife	6.06	Da	0	na	GOPR4007
40	bar	T13	2	16/06/2016	0	bar 40	Tenerife	0.59	Da	0	na	GOPR4007
40	bar	T13	3	16/06/2016	0	bar 40	Tenerife	3.35	Da	0	na	GOPR4007
40	bar	T13	4	16/06/2016	0	bar 40	Tenerife	2.41	Da	0	na	GOPR4007
40	bar	T14	1	16/06/2016	0	bar 40	Tenerife	0.16	Da	0	na	GOPR4008
40	bar	T14	2	16/06/2016	0	bar 40	Tenerife	4.73	Da	0	na	GOPR4008
40	bar	T14	3	16/06/2016	0	bar 40	Tenerife	1.2	Da	0	na	GOPR4008
40	bar	T14	4	16/06/2016	0	bar 40	Tenerife	4.47	Da	0	na	GOPR4008
40	bar	T15	1	16/06/2016	0	bar 40	Tenerife	0.83	Da	0	na	GOPR4011
40	bar	T15	2	16/06/2016	0	bar 40	Tenerife	3.14	Da	0	na	GOPR4011
40	bar	T15	3	16/06/2016	0	bar 40	Tenerife	0.4	Da	0	na	GOPR4011
40	bar	T15	4	16/06/2016	0	bar 40	Tenerife	3.2	Da	0	na	GOPR4011
40	bar	T16	1	17/06/2016	0	bar 40	Tenerife	0	Da	0	na	GOPR4012
40	bar	T16	2	17/06/2016	0	bar 40	Tenerife	5.65	Da	0	na	GOPR4012
40	bar	T16	3	17/06/2016	0	bar 40	Tenerife	0.88	Da	0	na	GOPR4012
40	bar	T16	4	17/06/2016	0	bar 40	Tenerife	0.26	Da	0	na	GOPR4012
40	bar	T17	1	19/06/2016	0	bar 40	Tenerife	0.63	Da	0	na	GOPR4013
40	bar	T17	2	19/06/2016	0	bar 40	Tenerife	0.1	Da	0	na	GOPR4013
40	bar	T17	3	19/06/2016	0	bar 40	Tenerife	3.25	Da	0	na	GOPR4013
40	bar	T17	4	19/06/2016	0	bar 40	Tenerife	0.28	Da	0	na	GOPR4013
40	bar	T18	1	19/06/2016	0	bar 40	Tenerife	1.67	Da	0	na	GOPR4014
40	bar	T18	2	19/06/2016	0	bar 40	Tenerife	0	Da	0	na	GOPR4014
40	bar	T18	3	19/06/2016	0	bar 40	Tenerife	4.35	Da	0	na	GOPR4014
40	bar	T18	4	19/06/2016	0	bar 40	Tenerife	3.83	Da	0	na	GOPR4014
40	bar	T19	1	19/06/2016	0	bar 40	Tenerife	0.94	Da	0	na	GOPR4015
40	bar	T19	2	19/06/2016	0	bar 40	Tenerife	1.4	Da	0	na	GOPR4015
40	bar	T19	3	19/06/2016	0	bar 40	Tenerife	0.11	Da	0	na	GOPR4015
40	bar	T19	4	19/06/2016	0	bar 40	Tenerife	0.16	Da	0	na	GOPR4015
40	bar	T20	1	19/06/2016	0	bar 40	Tenerife	2.37	Da	0	na	GOPR4016
40	bar	T20	2	19/06/2016	0	bar 40	Tenerife	0.37	Da	0	na	GOPR4016
40	bar	T20	3	19/06/2016	0	bar 40	Tenerife	2.85	Da	0	na	GOPR4016
40	bar	T20	4	19/06/2016	0	bar 40	Tenerife	1.17	Da	0	na	GOPR4016
40	bar	T21	1	19/06/2016	0	bar 40	Tenerife	2.51	Da	0	na	GOPR4017
40	bar	T21	2	19/06/2016	0	bar 40	Tenerife	6.2	Da	0	na	GOPR4017
40	bar	T21	3	19/06/2016	0	bar 40	Tenerife	0.81	Da	0	na	GOPR4017
